"","MIN","MAX","MEAN","SD"
"popularity",0,89,59.6331787738279,21.5010527587732
"danceability",0.129,0.975,0.667814013395157,0.140608276982903
"energy",0.0549,0.999,0.721548686244204,0.152871617974155
"key",0,11,5.3693972179289,3.61526989159093
"loundess",-20.514,-0.276,-5.51408243173622,1.93895045804902
"mode",0,1,0.553323029366306,0.497276638176974
"speechiness",0.0232,0.576,0.103782586295724,0.0961478378723851
"acousticness",1.92e-05,0.976,0.128172649613601,0.172583821552061
"instrumentalness",0,0.985,0.0153724754971665,0.088371370280087
"liveness",0.0215,0.853,0.181726326635755,0.140909540267896
"valence",0.0381,0.973,0.552966151468315,0.220845381941349
"tempo",60.019,210.851,120.158442040185,26.9904745377428
